time,20sim,fmu,cohla,d-20sim-fmu,d-fmu-cohla,d-20sim-cohla,offset-20sim-cohla,target
252,18.0899565307901,18.089,18.088979,0.000956530790102,2.10000000002708E-05,0.000977530790102,-0.000977530790102,18
255,18.0975304452645,18.0966,18.096551,0.000930445264501,4.89999999970792E-05,0.000979445264498,-0.000979445264498,18
258,18.105099101815,18.1041,18.104118,0.000999101815001,1.80000000007396E-05,0.000981101815,-0.000981101815,18
261,18.1126625040914,18.1117,18.111679,0.000962504091401,2.10000000002708E-05,0.000983504091401,-0.000983504091401,18
264,18.1202206557414,18.1192,18.119236,0.001020655741399,3.60000000014793E-05,0.000984655741398,-0.000984655741398,18
267,18.1277735604102,18.1268,18.126787,0.000973560410202,1.29999999991526E-05,0.000986560410201,-0.000986560410201,18
270,18.1353212217401,18.1343,18.134333,0.0010212217401,3.30000000019481E-05,0.000988221740098,-0.000988221740098,18
273,18.1428636433712,18.1419,18.141873,0.0009636433712,2.69999999993331E-05,0.0009906433712,-0.0009906433712,18
276,18.1504008289411,18.1494,18.149409,0.001000828941098,8.99999999859347E-06,0.0009918289411,-0.0009918289411,18
279,18.1579327820847,18.1569,18.156939,0.0010327820847,3.90000000010104E-05,0.000993782084699,-0.000993782084699,18
282,18.1654595064343,18.1645,18.164464,0.000959506434299,3.60000000014793E-05,0.0009955064343,-0.0009955064343,18
285,18.1729810056199,18.172,18.171983,0.000981005619899,1.69999999997117E-05,0.000998005619898,-0.000998005619898,18
288,18.1804972832689,18.1795,18.179498,0.000997283268898,2.00000000205591E-06,0.0009992832689,-0.0009992832689,18
291,18.1880083430062,18.187,18.187007,0.001008343006198,7.00000000009027E-06,0.001001343006198,-0.001001343006198,18
294,18.195514188454,18.1945,18.194511,0.001014188453997,1.09999999970967E-05,0.001003188454,-0.001003188454,18
297,18.2030148232323,18.202,18.20201,0.0010148232323,9.99999999962142E-06,0.0010048232323,-0.0010048232323,18
300,18.2105102509583,18.2095,18.209503,0.001010250958302,3.00000000308387E-06,0.001007250958299,-0.001007250958299,18
303,18.2180004752469,18.2167,18.216742,0.0013004752469,4.20000000005416E-05,0.0012584752469,-0.0012584752469,18
306,18.2254854997103,18.2242,18.224226,0.001285499710299,2.60000000018579E-05,0.001259499710297,-0.001259499710297,18
309,18.2329653279585,18.2317,18.231704,0.0012653279585,4.00000000055911E-06,0.001261327958499,-0.001261327958499,18
312,18.2404399635986,18.2392,18.239177,0.0012399635986,2.2999999998774E-05,0.001262963598599,-0.001262963598599,18
315,18.2479094102354,18.2466,18.246645,0.0013094102354,4.50000000000728E-05,0.0012644102354,-0.0012644102354,18
318,18.2553736714713,18.2541,18.254107,0.001273671471299,7.00000000009027E-06,0.001266671471299,-0.001266671471299,18
321,18.262832750906,18.2616,18.261565,0.001232750905999,3.50000000004513E-05,0.001267750905999,-0.001267750905999,18
324,18.2702866521368,18.269,18.269017,0.001286652136802,1.70000000032644E-05,0.001269652136799,-0.001269652136799,18
327,18.2777353787585,18.2765,18.276464,0.001235378758501,3.59999999979266E-05,0.001271378758499,-0.001271378758499,18
330,18.2851789343633,18.2839,18.283906,0.001278934363302,6.00000000261502E-06,0.0012729343633,-0.0012729343633,18
333,18.2739726944419,18.2733,18.273325,0.000672694441899,2.50000000008299E-05,0.000647694441898,-0.000647694441898,18
336,18.262774234059,18.2621,18.262131,0.000674234058998,3.09999999998922E-05,0.000643234058998,-0.000643234058998,18
339,18.2515835478138,18.2509,18.250945,0.0006835478138,4.50000000000728E-05,0.0006385478138,-0.0006385478138,18
342,18.2404006303095,18.2398,18.239766,0.000600630309503,3.39999999994234E-05,0.000634630309502,-0.000634630309502,18
345,18.2292254761529,18.2286,18.228595,0.000625476152901,5.00000000158707E-06,0.000630476152903,-0.000630476152903,18
348,18.2180580799546,18.2174,18.217432,0.000658079954597,3.19999999973675E-05,0.0006260799546,-0.0006260799546,18
351,18.2068984363289,18.2063,18.206276,0.0005984363289,2.3999999999802E-05,0.0006224363289,-0.0006224363289,18
354,18.1957465398937,18.1951,18.195129,0.000646539893701,2.9000000001389E-05,0.0006175398937,-0.0006175398937,18
357,18.184602385271,18.184,18.183989,0.000602385270998,1.10000000006494E-05,0.000613385270999,-0.000613385270999,18
360,18.1734659670862,18.1729,18.172856,0.000565967086203,4.39999999990448E-05,0.000609967086202,-0.000609967086202,18
363,18.1623372799685,18.1617,18.161732,0.000637279968501,3.20000000009202E-05,0.0006052799685,-0.0006052799685,18
366,18.151216318551,18.1506,18.150615,0.000616318551,1.49999999976558E-05,0.000601318551002,-0.000601318551002,18
369,18.1401030774704,18.1395,18.139506,0.000603077470398,5.99999999906231E-06,0.000597077470399,-0.000597077470399,18
372,18.128997551367,18.1284,18.128405,0.000597551367001,5.00000000158707E-06,0.000592551366999,-0.000592551366999,18
375,18.117899734885,18.1173,18.117311,0.000599734885,1.10000000006494E-05,0.000588734885,-0.000588734885,18
378,18.1068096226724,18.1062,18.106225,0.0006096226724,2.49999999972772E-05,0.000584622672402,-0.000584622672402,18
381,18.0957272093806,18.0951,18.095147,0.0006272093806,4.70000000021287E-05,0.000580209380598,-0.000580209380598,18
384,18.084652489665,18.0841,18.084076,0.000552489665001,2.3999999999802E-05,0.000576489665001,-0.000576489665001,18
387,18.0735854581846,18.073,18.073013,0.000585458184599,1.29999999991526E-05,0.0005724581846,-0.0005724581846,18
390,18.0625261096021,18.062,18.061958,0.000526109602099,4.20000000005416E-05,0.000568109602099,-0.000568109602099,18
393,18.0514744385838,18.0509,18.05091,0.000574438583801,9.99999999962142E-06,0.000564438583801,-0.000564438583801,18
396,18.0404304398,18.0399,18.03987,0.000530439800002,2.99999999988643E-05,0.000560439800001,-0.000560439800001,18
399,18.0293941079244,18.0288,18.028838,0.0005941079244,3.79999999999825E-05,0.0005561079244,-0.0005561079244,18
402,18.0183654376346,18.0178,18.017814,0.000565437634599,1.40000000001805E-05,0.000551437634599,-0.000551437634599,18
405,18.0073444236118,18.0068,18.006797,0.000544423611803,2.99999999953116E-06,0.000547423611803,-0.000547423611803,18
408,17.9963310605409,17.9958,17.995787,0.000531060540901,1.29999999991526E-05,0.0005440605409,-0.0005440605409,18
411,17.9853253431104,17.9848,17.984786,0.0005253431104,1.40000000001805E-05,0.0005393431104,-0.0005393431104,18
414,17.9743272660127,17.9738,17.973792,0.0005272660127,8.00000000111822E-06,0.000535266012701,-0.000535266012701,18
417,17.9633368239437,17.9628,17.962805,0.000536823943698,4.99999999803435E-06,0.0005318239437,-0.0005318239437,18
420,17.9523540116031,17.9518,17.951827,0.0005540116031,2.70000000028858E-05,0.000527011603097,-0.000527011603097,18
423,17.9413788236943,17.9409,17.940855,0.000478823694301,4.50000000000728E-05,0.000523823694301,-0.000523823694301,18
426,17.9304112549241,17.9299,17.929892,0.000511254924099,8.00000000111822E-06,0.0005192549241,-0.0005192549241,18
429,17.9194513000033,17.9189,17.918936,0.000551300003298,3.59999999979266E-05,0.0005153000033,-0.0005153000033,18
432,17.9084989536463,17.908,17.907988,0.0004989536463,1.20000000016773E-05,0.000510953646302,-0.000510953646302,18
435,17.897554210571,17.897,17.897047,0.000554210571,4.70000000021287E-05,0.000507210570998,-0.000507210570998,18
438,17.8866170654993,17.8861,17.886114,0.000517065499302,1.40000000001805E-05,0.000503065499302,-0.000503065499302,18
441,17.8756875131563,17.8752,17.875188,0.000487513156301,1.19999999981246E-05,0.000499513156299,-0.000499513156299,18
444,17.8647655482711,17.8643,17.86427,0.000465548271102,2.99999999988643E-05,0.0004955482711,-0.0004955482711,18
447,17.8538511655764,17.8534,17.85336,0.000451165576401,4.00000000020384E-05,0.000491165576403,-0.000491165576403,18
450,17.8429443598085,17.8425,17.842457,0.000444359808498,4.30000000015696E-05,0.000487359808499,-0.000487359808499,18
453,17.8320451257076,17.8316,17.831562,0.0004451257076,3.80000000035352E-05,0.000483125707603,-0.000483125707603,18
456,17.821153458017,17.8207,17.820674,0.000453458017002,2.59999999983052E-05,0.000479458017001,-0.000479458017001,18
459,17.8102693514842,17.8098,17.809794,0.000469351484202,5.99999999906231E-06,0.000475351484202,-0.000475351484202,18
462,17.7993928008599,17.7989,17.798922,0.000492800859899,2.20000000012988E-05,0.000470800859897,-0.000470800859897,18
465,17.788523800899,17.7881,17.788056,0.000423800899,4.39999999990448E-05,0.000467800898999,-0.000467800898999,18
468,17.7776623463596,17.7772,17.777199,0.000462346359601,1.00000000102796E-06,0.000463346359602,-0.000463346359602,18
471,17.7668084320034,17.7663,17.766349,0.0005084320034,4.89999999970792E-05,0.000459432003403,-0.000459432003403,18
474,17.7559620525961,17.7555,17.755507,0.000462052596099,7.00000000009027E-06,0.000455052596099,-0.000455052596099,18
477,17.7451232029067,17.7447,17.744672,0.000423202906699,2.80000000003611E-05,0.000451202906699,-0.000451202906699,18
480,17.734291877708,17.7338,17.733844,0.000491877708001,4.40000000025975E-05,0.000447877707998,-0.000447877707998,18
483,17.7234680717764,17.723,17.723024,0.0004680717764,2.3999999999802E-05,0.0004440717764,-0.0004440717764,18
486,17.7126517798918,17.7122,17.712212,0.000451779891801,1.20000000016773E-05,0.000439779891799,-0.000439779891799,18
489,17.701842996838,17.7014,17.701407,0.000442996838,7.00000000009027E-06,0.000435996838,-0.000435996838,18
492,17.6910417174022,17.6906,17.69061,0.0004417174022,9.99999999962142E-06,0.000431717402201,-0.000431717402201,18
495,17.6802479363752,17.6798,17.67982,0.000447936375199,1.99999999992428E-05,0.0004279363752,-0.0004279363752,18
498,17.6694616485516,17.669,17.669038,0.0004616485516,3.79999999999825E-05,0.0004236485516,-0.0004236485516,18
501,17.6586828487295,17.6583,17.658263,0.000382848729501,3.69999999989545E-05,0.0004198487295,-0.0004198487295,18
504,17.6479115317106,17.6475,17.647495,0.000411531710601,5.00000000158707E-06,0.000416531710602,-0.000416531710602,18
507,17.6371476923001,17.6367,17.636735,0.000447692300099,3.50000000004513E-05,0.000412692300099,-0.000412692300099,18
510,17.6263913253071,17.626,17.625983,0.000391325307099,1.69999999997117E-05,0.000408325307099,-0.000408325307099,18
513,17.6342870536433,17.6333,17.633255,0.0009870536433,4.50000000000728E-05,0.0010320536433,-0.0010320536433,18
516,17.6421773006473,17.6411,17.641144,0.0010773006473,4.39999999990448E-05,0.0010333006473,-0.0010333006473,18
519,17.6500620701246,17.649,17.649026,0.0010620701246,2.59999999983052E-05,0.001036070124602,-0.001036070124602,18
522,17.6579413658775,17.6569,17.656904,0.001041365877501,4.00000000055911E-06,0.001037365877501,-0.001037365877501,18
525,17.6658151917062,17.6648,17.664776,0.001015191706202,2.3999999999802E-05,0.001039191706202,-0.001039191706202,18
528,17.6736835514079,17.6726,17.672642,0.001083551407902,4.20000000005416E-05,0.001041551407901,-0.001041551407901,18
531,17.6815464487771,17.6805,17.680503,0.001046448777103,3.00000000308387E-06,0.0010434487771,-0.0010434487771,18
534,17.689403887606,17.6884,17.688359,0.001003887606,4.10000000030664E-05,0.001044887606003,-0.001044887606003,18
537,17.6972558716841,17.6962,17.696209,0.001055871684098,8.99999999859347E-06,0.0010468716841,-0.0010468716841,18
540,17.705102404798,17.7041,17.704053,0.001002404798001,4.70000000021287E-05,0.001049404798003,-0.001049404798003,18
543,17.7129434907318,17.7119,17.711893,0.001043490731799,7.00000000009027E-06,0.001050490731799,-0.001050490731799,18
546,17.7207791332672,17.7197,17.719726,0.001079133267201,2.60000000018579E-05,0.001053133267199,-0.001053133267199,18
549,17.728609336183,17.7276,17.727555,0.001009336182999,4.50000000000728E-05,0.001054336183,-0.001054336183,18
552,17.7364341032553,17.7354,17.735377,0.0010341032553,2.2999999998774E-05,0.001057103255299,-0.001057103255299,18
555,17.744253438258,17.7432,17.743195,0.001053438257998,5.00000000158707E-06,0.001058438257999,-0.001058438257999,18
558,17.752067344962,17.751,17.751007,0.001067344961999,7.00000000009027E-06,0.001060344961999,-0.001060344961999,18
561,17.7598758271358,17.7588,17.758814,0.0010758271358,1.40000000001805E-05,0.0010618271358,-0.0010618271358,18
564,17.767678888545,17.7666,17.766615,0.001078888544999,1.50000000012085E-05,0.001063888544998,-0.001063888544998,18
567,17.775476532953,17.7744,17.77441,0.001076532953,9.99999999962142E-06,0.001066532953001,-0.001066532953001,18
570,17.7832687641202,17.7822,17.782201,0.001068764120202,1.00000000102796E-06,0.001067764120201,-0.001067764120201,18
573,17.7910555858046,17.79,17.789986,0.0010555858046,1.40000000001805E-05,0.001069585804601,-0.001069585804601,18
576,17.7988370017616,17.7978,17.797765,0.001037001761603,3.50000000004513E-05,0.001072001761603,-0.001072001761603,18
579,17.8066130157438,17.8055,17.805539,0.001113015743801,3.90000000010104E-05,0.0010740157438,-0.0010740157438,18
582,17.8143836315015,17.8133,17.813308,0.001083631501498,7.99999999756551E-06,0.0010756315015,-0.0010756315015,18
585,17.8221488527821,17.8211,17.821072,0.001048852782098,2.80000000003611E-05,0.001076852782099,-0.001076852782099,18
