Time,ThermostatTargetTemperature,POOSL,VDM,20sim,POOSL_compensated
790,20.5,20.35312,,,
790,,,20.770639,,
790,,,,20.770639,
790,,,,,20.770987
795,20.5,20.374519,,,
795,,,20.72198,,
795,,,,20.72198,
795,,,,,20.791291
795.1,,,,,20.791291
800,20.5,20.395862,,,
800,,,20.673449,,
800,,,,20.673449,
800,,,,,20.811542
805,20.5,20.417149,,,
805,,,20.625045,,
805,,,,20.625045,
805,,,,,20.831739
810,20.5,20.43838,,,
810,,,20.576767,,
810,,,,20.576767,
810,,,,,20.851884
810.1,20.5,20.43838,,,
810.1,,,,,20.851884
815,20.5,20.459555,,,
815,,,20.528616,,
815,,,,20.528616,
815,,,,,20.871976
820,20.5,20.480675,,,
820,,,20.480592,,
820,,,,20.480592,
820,,,,,20.892015
825,20.5,20.50174,,,
825,,,20.432693,,
825,,,,20.432693,
825,,,,,20.912002
825.1,,,,,20.912002
830,20.5,20.522749,,,
830,,,20.38492,,
830,,,,20.38492,
830,,,,,20.862996
835,20.5,20.543704,,,
835,,,20.337272,,
835,,,,20.337272,
835,,,,,20.814095
840,20.5,20.564603,,,
840,,,20.289748,,
840,,,,20.289748,
840,,,,,20.765323
840.1,20.5,20.564603,,,
840.1,,,,,20.765323
845,20.5,20.585448,,,
845,,,20.24235,,
845,,,,20.24235,
845,,,,,20.716678
850,20.5,20.606238,,,
850,,,20.195075,,
850,,,,20.195075,
850,,,,,20.66816
855,20.5,20.626974,,,
855,,,20.147924,,
855,,,,20.147924,
855,,,,,20.61977
855.1,,,,,20.61977
860,20.5,20.647655,,,
860,,,20.100897,,
860,,,,20.100897,
860,,,,,20.571507
865,20.5,20.668282,,,
865,,,20.053993,,
865,,,,20.053993,
865,,,,,20.52337
870,20.5,20.688855,,,
870,,,20.007212,,
870,,,,20.007212,
870,,,,,20.475359
870.1,20.5,20.688855,,,
870.1,,,,,20.475359
875,20.5,20.709374,,,
875,,,20.029494,,
875,,,,20.029494,
875,,,,,20.427474
880,20.5,20.72984,,,
880,,,20.051741,,
880,,,,20.051741,
880,,,,,20.379714
885,20.5,20.750251,,,
885,,,20.07393,,
885,,,,20.07393,
885,,,,,20.332079
885.1,,,,,20.332079
890,20.5,20.77061,,,
890,,,20.09606,,
890,,,,20.09606,
890,,,,,20.28457
895,20.5,20.790915,,,
895,,,20.118133,,
895,,,,20.118133,
895,,,,,20.237185
900,20.5,20.811166,,,
900,,,20.140147,,
900,,,,20.140147,
900,,,,,20.189924
900.1,20.5,20.811166,,,
900.1,,,,,20.189924
905,20.5,20.831365,,,
905,,,20.162104,,
905,,,,20.162104,
905,,,,,20.142786
910,20.5,20.851511,,,
910,,,20.184003,,
910,,,,20.184003,
910,,,,,20.095773
915,20.5,20.871604,,,
915,,,20.205845,,
915,,,,20.205845,
915,,,,,20.048882
915.1,,,,,20.048882
920,20.5,20.891644,,,
920,,,20.22763,,
920,,,,20.22763,
920,,,,,20.071055
925,20.5,20.911632,,,
925,,,20.249358,,
925,,,,20.249358,
925,,,,,20.093193
930,20.5,20.931567,,,
930,,,20.271029,,
930,,,,20.271029,
930,,,,,20.115273
930.1,20.5,20.931567,,,
930.1,,,,,20.115273
935,20.5,20.88251,,,
935,,,20.292642,,
935,,,,20.292642,
935,,,,,20.137295
940,20.5,20.833558,,,
940,,,20.3142,,
940,,,,20.3142,
940,,,,,20.159259
945,20.5,20.784734,,,
945,,,20.335701,,
945,,,,20.335701,
945,,,,,20.181166
945.1,,,,,20.181166
950,20.5,20.736039,,,
950,,,20.357145,,
950,,,,20.357145,
950,,,,,20.203016
955,20.5,20.68747,,,
955,,,20.378533,,
955,,,,20.378533,
955,,,,,20.224808
960,20.5,20.63903,,,
960,,,20.399866,,
960,,,,20.399866,
960,,,,,20.246543
960.1,20.5,20.63903,,,
960.1,,,,,20.246543
965,20.5,20.590716,,,
965,,,20.421142,,
965,,,,20.421142,
965,,,,,20.268221
970,20.5,20.542528,,,
970,,,20.442363,,
970,,,,20.442363,
970,,,,,20.289842
975,20.5,20.494467,,,
975,,,20.463528,,
975,,,,20.463528,
975,,,,,20.311407
975.1,,,,,20.311407
980,20.5,20.446532,,,
980,,,20.484637,,
980,,,,20.484637,
980,,,,,20.332915
985,20.5,20.398722,,,
985,,,20.505692,,
985,,,,20.505692,
985,,,,,20.354367
990,20.5,20.351038,,,
990,,,20.526691,,
990,,,,20.526691,
990,,,,,20.375763
990.1,20.5,20.351038,,,
990.1,,,,,20.375763
995,20.5,20.303479,,,
995,,,20.547635,,
995,,,,20.547635,
995,,,,,20.397102
1000,20.5,20.256044,,,
1000,,,20.568524,,
1000,,,,20.568524,
1000,,,,,20.418386
1005,20.5,20.208734,,,
1005,,,20.589358,,
1005,,,,20.589358,
1005,,,,,20.439614
1005.1,,,,,20.439614
1010,20.5,20.161547,,,
1010,,,20.610138,,
1010,,,,20.610138,
1010,,,,,20.460786
1015,20.5,20.114484,,,
1015,,,20.630864,,
1015,,,,20.630864,
1015,,,,,20.481903
1020,20.5,20.067545,,,
1020,,,20.651535,,
1020,,,,20.651535,
1020,,,,,20.502964
1020.1,20.5,20.067545,,,
1020.1,,,,,20.502964
1025,20.5,20.020728,,,
1025,,,20.672152,,
1025,,,,20.672152,
1025,,,,,20.52397
1030,20.5,19.974034,,,
1030,,,20.692715,,
1030,,,,20.692715,
1030,,,,,20.544921
1035,20.5,19.927463,,,
1035,,,20.713224,,
1035,,,,20.713224,
1035,,,,,20.565818
1035.1,,,,,20.565818
1040,20.5,19.881013,,,
1040,,,20.733679,,
1040,,,,20.733679,
1040,,,,,20.586659
1045,20.5,19.834685,,,
1045,,,20.754081,,
1045,,,,20.754081,
1045,,,,,20.607446
1050,20.5,19.788479,,,
1050,,,20.774429,,
1050,,,,20.774429,
1050,,,,,20.628179
1050.1,20.5,19.788479,,,
1050.1,,,,,20.628179
1055,20.5,19.811334,,,
1055,,,20.794724,,
1055,,,,20.794724,
