time,20sim,cohla,delta,abs-delta,HeaterState-20sim,HeaterState-CoHLA,target
624,17.923167567158,17.921506,-0.001661567157999,0.001661567157999,1,1,18
627,17.9308546893884,17.929195,-0.001659689388401,0.001659689388401,1,1,18
630,17.9385364768944,17.936878,-0.001658476894399,0.001658476894399,1,1,18
633,17.9462129333782,17.944555,-0.001657933378198,0.001657933378198,1,1,18
636,17.9538840625394,17.952228,-0.0016560625394,0.0016560625394,1,1,18
639,17.9615498680752,17.959894,-0.001655868075201,0.001655868075201,1,1,18
642,17.9692103536801,17.967556,-0.001654353680102,0.001654353680102,1,1,18
645,17.9768655230458,17.975212,-0.0016535230458,0.0016535230458,1,1,18
648,17.9845153798619,17.982863,-0.001652379861902,0.001652379861902,1,1,18
651,17.9921599278151,17.990509,-0.001650927815099,0.001650927815099,1,1,18
654,17.9997991705896,17.99815,-0.001649170589602,0.001649170589602,1,1,18
657,18.0074331118674,18.005785,-0.0016481118674,0.0016481118674,1,1,18
660,18.0150617553273,18.013414,-0.001647755327298,0.001647755327298,1,1,18
663,18.0226851046461,18.021039,-0.001646104646102,0.001646104646102,1,1,18
666,18.0303031634976,18.028658,-0.001645163497599,0.001645163497599,1,1,18
669,18.0379159355536,18.036272,-0.001643935553599,0.001643935553599,1,1,18
672,18.0455234244828,18.043881,-0.0016424244828,0.0016424244828,1,1,18
675,18.0531256339519,18.051484,-0.001641633951902,0.001641633951902,1,1,18
678,18.0607225676243,18.059082,-0.0016405676243,0.0016405676243,1,1,18
681,18.0683142291616,18.066675,-0.001639229161601,0.001639229161601,1,1,18
684,18.0759006222225,18.074262,-0.001638622222497,0.001638622222497,1,1,18
687,18.0834817504633,18.081845,-0.001636750463298,0.001636750463298,1,1,18
690,18.0910576175375,18.089422,-0.001635617537502,0.001635617537502,1,1,18
693,18.0986282270963,18.096993,-0.001635227096298,0.001635227096298,1,1,18
696,18.1061935827884,18.10456,-0.001633582788401,0.001633582788401,1,1,18
699,18.1137536882601,18.112121,-0.001632688260102,0.001632688260102,1,1,18
702,18.1213085471545,18.119677,-0.001631547154499,0.001631547154499,1,1,18
705,18.128858163113,18.127228,-0.001630163113003,0.001630163113003,1,1,18
708,18.1364025397739,18.134773,-0.001629539773901,0.001629539773901,1,1,18
711,18.1439416807736,18.142314,-0.001627680773602,0.001627680773602,1,1,18
714,18.151475589745,18.149849,-0.001626589745001,0.001626589745001,1,1,18
717,18.1590042703193,18.157378,-0.001626270319299,0.001626270319299,1,1,18
720,18.1665277261248,18.164903,-0.001624726124803,0.001624726124803,1,1,18
723,18.1740459607876,18.172422,-0.001623960787597,0.001623960787597,1,1,18
726,18.1815589779309,18.179937,-0.001621977930903,0.001621977930903,1,1,18
729,18.1890667811755,18.187445,-0.001621781175501,0.001621781175501,1,1,18
732,18.1965693741398,18.194949,-0.001620374139797,0.001620374139797,1,1,18
735,18.2040667604397,18.202448,-0.001618760439701,0.001618760439701,1,1,18
738,18.2115589436886,18.209941,-0.001617943688601,0.001617943688601,1,1,18
741,18.2190459274971,18.217429,-0.0016169274971,0.0016169274971,1,1,18
744,18.2265277154738,18.224912,-0.0016157154738,0.0016157154738,1,1,18
747,18.2340043112245,18.23239,-0.0016143112245,0.0016143112245,1,1,18
750,18.2414757183523,18.239862,-0.001613718352303,0.001613718352303,1,1,18
753,18.2489419404582,18.24733,-0.001611940458197,0.001611940458197,1,1,18
756,18.2564029811405,18.254792,-0.001610981140502,0.001610981140502,1,1,18
759,18.2638588439946,18.262249,-0.001609843994601,0.001609843994601,1,1,18
762,18.2713095326144,18.269701,-0.001608532614398,0.001608532614398,1,1,18
765,18.2787550505904,18.277147,-0.001608050590402,0.001608050590402,1,1,18
768,18.286195401511,18.284589,-0.001606401511001,0.001606401511001,1,1,18
771,18.293630588962,18.292025,-0.001605588962001,0.001605588962001,1,1,18
774,18.3010606165268,18.299456,-0.001604616526802,0.001604616526802,1,1,18
777,18.3084854877863,18.306882,-0.001603487786298,0.001603487786298,1,1,18
780,18.3159052063188,18.314303,-0.0016022063188,0.0016022063188,1,0,18
783,18.3046814022163,18.303701,-0.0009804022163,0.0009804022163,0,0,18
786,18.2934653872318,18.292486,-0.000979387231801,0.000979387231801,0,0,18
789,18.2822571559597,18.281278,-0.000979155959701,0.000979155959701,0,0,18
792,18.2710567029982,18.270079,-0.000977702998203,0.000977702998203,0,0,18
795,18.2598640229494,18.258887,-0.000977022949399,0.000977022949399,0,0,18
798,18.248679110419,18.247702,-0.000977110419001,0.000977110419001,0,0,18
801,18.2375019600165,18.236526,-0.000975960016497,0.000975960016497,0,0,18
804,18.2263325663551,18.225357,-0.000975566355102,0.000975566355102,0,0,18
807,18.2151709240516,18.214196,-0.000974924051597,0.000974924051597,0,0,18
810,18.2040170277269,18.203043,-0.000974027726897,0.000974027726897,0,0,18
813,18.1928708720054,18.191898,-0.000972872005402,0.000972872005402,0,0,18
816,18.1817324515151,18.18076,-0.0009724515151,0.0009724515151,0,0,18
819,18.1706017608881,18.16963,-0.000971760888099,0.000971760888099,0,0,18
822,18.1594787947599,18.158508,-0.000970794759898,0.000970794759898,0,0,18
825,18.1483635477701,18.147393,-0.000970547770098,0.000970547770098,0,0,18
828,18.1372560145615,18.136286,-0.000970014561503,0.000970014561503,0,0,18
831,18.1261561897808,18.125187,-0.0009691897808,0.0009691897808,0,0,18
834,18.1150640680787,18.114095,-0.0009690680787,0.0009690680787,0,0,18
837,18.1039796441092,18.103012,-0.000967644109199,0.000967644109199,0,0,18
840,18.0929029125303,18.091936,-0.000966912530298,0.000966912530298,0,0,18
843,18.0818338680038,18.080867,-0.0009668680038,0.0009668680038,0,0,18
846,18.070772505195,18.069807,-0.000965505194998,0.000965505194998,0,0,18
849,18.0597188187725,18.058754,-0.000964818772498,0.000964818772498,0,0,18
852,18.0486728034094,18.047708,-0.000964803409399,0.000964803409399,0,0,18
855,18.0376344537821,18.036671,-0.000963453782102,0.000963453782102,0,0,18
858,18.0266037645707,18.025641,-0.000962764570701,0.000962764570701,0,0,18
861,18.0155807304588,18.014618,-0.000962730458802,0.000962730458802,0,0,18
864,18.004565346134,18.003603,-0.000962346134003,0.000962346134003,0,0,18
867,17.9935576062878,17.992596,-0.000961606287802,0.000961606287802,0,0,18
870,17.9825575056147,17.981597,-0.0009605056147,0.0009605056147,0,0,18
873,17.9715650388134,17.970605,-0.0009600388134,0.0009600388134,0,0,18
876,17.9605802005861,17.959621,-0.000959200586102,0.000959200586102,0,0,18
879,17.9496029856386,17.948644,-0.000958985638597,0.000958985638597,0,0,18
882,17.9386333886807,17.937676,-0.0009573886807,0.0009573886807,0,0,18
885,17.9276714044254,17.926714,-0.000957404425399,0.000957404425399,0,0,18
888,17.9167170275898,17.91576,-0.000957027589802,0.000957027589802,0,0,18
891,17.9057702528947,17.904814,-0.000956252894699,0.000956252894699,0,0,18
894,17.8948310750639,17.893876,-0.000955075063903,0.000955075063903,0,0,18
897,17.8838994888256,17.882945,-0.000954488825599,0.000954488825599,0,0,18
900,17.8729754889113,17.872022,-0.0009534889113,0.0009534889113,0,0,18
903,17.8620590700561,17.861106,-0.000953070056102,0.000953070056102,0,0,18
906,17.8511502269991,17.850198,-0.0009522269991,0.0009522269991,0,0,18
909,17.8402489544827,17.839297,-0.000951954482701,0.000951954482701,0,0,18
912,17.8293552472531,17.828404,-0.000951247253102,0.000951247253102,0,0,18
915,17.81846910006,17.817519,-0.000950100059999,0.000950100059999,0,0,18
918,17.8075905076572,17.806641,-0.0009495076572,0.0009495076572,0,0,18
921,17.7967194648016,17.79577,-0.0009494648016,0.0009494648016,0,0,18
924,17.7858559662538,17.784907,-0.000948966253798,0.000948966253798,0,0,18
927,17.7750000067785,17.774052,-0.000948006778501,0.000948006778501,0,0,18
930,17.7641515811436,17.763204,-0.000947581143599,0.000947581143599,0,0,18
933,17.7533106841207,17.752364,-0.000946684120699,0.000946684120699,0,0,18
936,17.7424773104851,17.741531,-0.000946310485102,0.000946310485102,0,0,18
939,17.7316514550156,17.730706,-0.0009454550156,0.0009454550156,0,0,18
942,17.7208331124949,17.719888,-0.0009451124949,0.0009451124949,0,0,18
945,17.7100222777091,17.709078,-0.000944277709099,0.000944277709099,0,0,18
948,17.6992189454479,17.698276,-0.0009429454479,0.0009429454479,0,0,18
951,17.6884231105048,17.68748,-0.000943110504799,0.000943110504799,0,0,18
954,17.6776347676768,17.676693,-0.0009417676768,0.0009417676768,0,0,18
957,17.6668539117643,17.665913,-0.0009409117643,0.0009409117643,0,0,18
960,17.6560805375718,17.65514,-0.0009405375718,0.0009405375718,0,1,18
963,17.6639530133909,17.662392,-0.001561013390898,0.001561013390898,1,1,18
966,17.6718200258537,17.67026,-0.001560025853703,0.001560025853703,1,1,18
969,17.6796815787512,17.678123,-0.001558578751201,0.001558578751201,1,1,18
972,17.6875376758729,17.68598,-0.001557675872899,0.001557675872899,1,1,18
975,17.6953883210044,17.693831,-0.001557321004402,0.001557321004402,1,1,18
978,17.7032335179297,17.701678,-0.001555517929699,0.001555517929699,1,1,18
981,17.7110732704297,17.709519,-0.0015542704297,0.0015542704297,1,1,18
984,17.7189075822826,17.717354,-0.0015535822826,0.0015535822826,1,1,18
987,17.7267364572641,17.725184,-0.001552457264101,0.001552457264101,1,1,18
990,17.7345598991473,17.733008,-0.001551899147298,0.001551899147298,1,1,18
993,17.7423779117027,17.740828,-0.0015499117027,0.0015499117027,1,1,18
996,17.7501904986983,17.748641,-0.001549498698299,0.001549498698299,1,1,18
999,17.7579976638991,17.756449,-0.001548663899101,0.001548663899101,1,1,18
1002,17.7657994110679,17.764252,-0.0015474110679,0.0015474110679,1,1,18
1005,17.7735957439648,17.77205,-0.001545743964801,0.001545743964801,1,1,18
1008,17.781386666347,17.779842,-0.001544666347002,0.001544666347002,1,1,18
1011,17.7891721819693,17.787628,-0.001544181969297,0.001544181969297,1,1,18
1014,17.7969522945839,17.795409,-0.0015432945839,0.0015432945839,1,1,18
1017,17.8047270079406,17.803185,-0.0015420079406,0.0015420079406,1,1,18
1020,17.8124963257861,17.810956,-0.001540325786099,0.001540325786099,1,1,18
1023,17.8202602518651,17.818721,-0.001539251865101,0.001539251865101,1,1,18
1026,17.8282773151042,17.82648,-0.001797315104199,0.001797315104199,1,1,18
1029,17.8360302894607,17.834234,-0.001796289460703,0.001796289460703,1,1,18
1032,17.8437778833926,17.841983,-0.001794883392602,0.001794883392602,1,1,18
1035,17.8515201006338,17.849727,-0.001793100633797,0.001793100633797,1,1,18
1038,17.8592569449158,17.857465,-0.001791944915798,0.001791944915798,1,1,18
1041,17.8669884199671,17.865198,-0.001790419967101,0.001790419967101,1,1,18
1044,17.8747145295142,17.872925,-0.001789529514202,0.001789529514202,1,1,18
1047,17.8824352772801,17.880647,-0.001788277280099,0.001788277280099,1,1,18
1050,17.8898935736145,17.888364,-0.001529573614501,0.001529573614501,1,1,18
1053,17.8978607023509,17.896075,-0.001785702350901,0.001785702350901,1,1,18
1056,17.9055653870897,17.903781,-0.001784387089703,0.001784387089703,1,1,18
1059,17.9132647249161,17.911481,-0.001783724916102,0.001783724916102,1,1,18
1062,17.9209587195406,17.919177,-0.001781719540599,0.001781719540599,1,1,18
1065,17.9286473746716,17.926866,-0.001781374671598,0.001781374671598,1,1,18
1068,17.9363306940143,17.934551,-0.001779694014299,0.001779694014299,1,1,18
1071,17.944008681272,17.94223,-0.001778681272,0.001778681272,1,1,18
1074,17.9516813401447,17.949904,-0.001777340144699,0.001777340144699,1,1,18
1077,17.9593486743302,17.957573,-0.001775674330201,0.001775674330201,1,1,18
1080,17.9667553727722,17.965236,-0.001519372772201,0.001519372772201,1,1,18
1083,17.9746673834183,17.972894,-0.0017733834183,0.0017733834183,1,1,18
1086,17.9823187657037,17.980546,-0.001772765703699,0.001772765703699,1,1,18
1089,17.9899648380676,17.988194,-0.0017708380676,0.0017708380676,1,1,18
1092,17.9976056041948,17.995836,-0.001769604194799,0.001769604194799,1,1,18
