Time,ThermostatTargetTemperature,LivingroomTemperatureFault,LivingroomTemperatureBase
1710.2,20.5,20.48826,20.916346
1715.2,20.5,20.509305,20.867305
1720.2,20.5,20.530295,20.818393
1725.2,20.5,20.551229,20.769609
1730.2,20.5,20.572109,20.720953
1735.2,20.5,20.592934,20.672425
1740.1,20.5,20.592934,20.672425
1740.2,20.5,20.613705,20.624023
1745.2,20.5,20.634421,20.575749
1750.2,20.5,20.655082,20.5276
1755.2,20.5,20.67569,20.479578
1760.2,20.5,20.696244,20.431682
1765.2,20.5,20.716744,20.383912
1770.1,20.5,20.716744,20.383912
1770.2,20.5,20.73719,20.336266
1775.2,20.5,20.757582,20.288746
1780.2,20.5,20.777921,20.241349
1785.2,20.5,20.798207,20.194077
1790.2,20.5,20.81844,20.146929
1795.2,20.5,20.838619,20.099905
1800.1,20.5,20.838619,20.099905
1800.2,20.5,20.858746,20.053003
1805.2,20.5,20.87882,20.006225
1810.2,20.5,20.898841,19.959569
1815.2,20.5,20.91881,19.913036
1820.2,20.5,20.938727,19.866624
1825.2,20.5,20.958592,19.820334
1830.1,20.5,20.958592,19.820334
1830.2,20.5,20.978404,19.843106
1835.2,20.5,20.998164,19.865841
1840.2,20.5,21.017873,19.888516
1845.2,20.5,21.03753,19.911133
1850.2,20.5,21.057136,19.93369
1855.2,20.5,21.07669,19.956187
1860.1,20.5,21.07669,19.956187
1860.2,20.5,21.096193,19.978626
1865.2,20.5,21.115645,20.001006
1870.2,20.5,21.135046,20.023328
1875.2,20.5,21.154396,20.045591
1880.2,20.5,21.173695,20.067796
1885.2,20.5,21.192944,20.089942
1890.1,20.5,21.192944,20.089942
1890.2,20.5,21.212142,20.112031
1895.2,20.5,21.23129,20.134061
1900.2,20.5,21.250388,20.156034
1905.2,20.5,21.269436,20.177949
1910.2,20.5,21.288434,20.199807
1915.2,20.5,21.307382,20.221608
1920.1,20.5,21.307382,20.221608
1920.2,20.5,21.326281,20.243351
1925.2,20.5,21.34513,20.265038
1930.2,20.5,21.363929,20.286667
1935.2,20.5,21.38268,20.30824
1940.2,20.5,21.401381,20.329757
1945.2,20.5,21.420033,20.351217
1950.1,20.5,21.420033,20.351217
1950.2,20.5,21.438636,20.372621
1955.2,20.5,21.457191,20.393968
1960.2,20.5,21.475697,20.41526
1965.2,20.5,21.494154,20.436496
1970.2,20.5,21.512563,20.457677
1975.2,20.5,21.530924,20.478801
1980.1,20.5,21.530924,20.478801
1980.2,20.5,21.549237,20.499871
1985.2,20.5,21.567502,20.520885
1990.2,20.5,21.585719,20.541845
1995.2,20.5,21.603888,20.562749
2000.2,20.5,21.62201,20.583599
2005.2,20.5,21.640084,20.604394
2010.1,20.5,21.640084,20.604394
2010.2,20.5,21.658111,20.625134
2015.2,20.5,21.67609,20.64582
2020.2,20.5,21.694022,20.666452
2025.2,20.5,21.711908,20.68703
2030.2,20.5,21.729746,20.707554
2035.2,20.5,21.747538,20.728024
2040.1,20.5,21.747538,20.728024
2040.2,20.5,21.765284,20.748441
2045.2,20.5,21.782982,20.768804
2050.2,20.5,21.800635,20.789113
2055.2,20.5,21.818241,20.80937
2060.2,20.5,21.835801,20.829573
2065.2,20.5,21.853315,20.849724
2070.1,20.5,21.853315,20.849724
2070.2,20.5,21.870783,20.869821
2075.2,20.5,21.888205,20.889866
2080.2,20.5,21.905581,20.909859
2085.2,20.5,21.922913,20.929799
2090.2,20.5,21.940198,20.949687
2095.2,20.5,21.957439,20.969522
2100.1,20.5,21.957439,20.969522
2100.2,20.5,21.974634,20.920366
2105.2,20.5,21.991784,20.871314
2110.2,20.5,22.008889,20.822392
2115.2,20.5,22.02595,20.773597
2120.2,20.5,22.042965,20.724931
2125.2,20.5,22.059937,20.676392
2130.1,20.5,22.059937,20.676392
2130.2,20.5,22.076829,20.628077
2135.2,20.5,22.093712,20.579791
